LAST SEEN   TYPE      REASON              OBJECT                              MESSAGE
24m         Normal    SuccessfulCreate    replicaset/vllm-b-7885978c55        Created pod: vllm-b-7885978c55-2fts4
24m         Normal    Created             pod/vllm-b-7885978c55-2fts4         Container created
24m         Normal    Pulled              pod/vllm-a-6d886c649b-6xdr4         Container image "vllm/vllm-openai@sha256:6d8429e38e3747723ca07ee1b17972e09bb9c51c4032b266f24fb1cc3b22ed8f" already present on machine and can be accessed by the pod
24m         Normal    Pulled              pod/vllm-c-699fd75975-kngg4         Container image "vllm/vllm-openai@sha256:6d8429e38e3747723ca07ee1b17972e09bb9c51c4032b266f24fb1cc3b22ed8f" already present on machine and can be accessed by the pod
24m         Normal    Created             pod/vllm-c-699fd75975-kngg4         Container created
24m         Normal    Started             pod/vllm-c-699fd75975-kngg4         Container started
24m         Normal    Started             pod/vllm-b-7885978c55-2fts4         Container started
24m         Normal    Started             pod/vllm-a-6d886c649b-6xdr4         Container started
24m         Normal    Pulled              pod/vllm-b-7885978c55-2fts4         Container image "vllm/vllm-openai@sha256:6d8429e38e3747723ca07ee1b17972e09bb9c51c4032b266f24fb1cc3b22ed8f" already present on machine and can be accessed by the pod
24m         Normal    Created             pod/vllm-a-6d886c649b-6xdr4         Container created
23m         Warning   Unhealthy           pod/vllm-b-7885978c55-2fts4         Readiness probe failed: Get "http://10.42.1.10:8000/health": dial tcp 10.42.1.10:8000: connect: connection refused
23m         Warning   Unhealthy           pod/vllm-c-699fd75975-kngg4         Readiness probe failed: Get "http://10.42.3.9:8000/health": dial tcp 10.42.3.9:8000: connect: connection refused
23m         Warning   Unhealthy           pod/vllm-a-6d886c649b-6xdr4         Readiness probe failed: Get "http://10.42.0.13:8000/health": dial tcp 10.42.0.13:8000: connect: connection refused
21m         Normal    ScalingReplicaSet   deployment/exp-fleet-0              Scaled up replica set exp-fleet-0-546944d5f8 from 0 to 1
20m         Normal    Created             pod/exp-fleet-0-546944d5f8-ml6vt    Container created
20m         Normal    SuccessfulCreate    replicaset/exp-fleet-0-546944d5f8   Created pod: exp-fleet-0-546944d5f8-ml6vt
20m         Normal    Pulled              pod/exp-fleet-0-546944d5f8-ml6vt    Container image "registry.k8s.io/pause:3.10" already present on machine and can be accessed by the pod
20m         Normal    Started             pod/exp-fleet-0-546944d5f8-ml6vt    Container started
15m         Normal    ScalingReplicaSet   deployment/exp-fleet-0              Scaled up replica set exp-fleet-0-7db86ff5fc from 0 to 1
15m         Normal    SuccessfulCreate    replicaset/exp-fleet-0-7db86ff5fc   Created pod: exp-fleet-0-7db86ff5fc-l45wr
15m         Normal    Started             pod/exp-fleet-0-7db86ff5fc-l45wr    Container started
15m         Normal    Created             pod/exp-fleet-0-7db86ff5fc-l45wr    Container created
15m         Normal    Pulled              pod/exp-fleet-0-7db86ff5fc-l45wr    Successfully pulled image "registry.k8s.io/pause:3.10" in 269ms (269ms including waiting). Image size: 320368 bytes.
15m         Normal    Pulling             pod/exp-fleet-0-7db86ff5fc-l45wr    Pulling image "registry.k8s.io/pause:3.10"
15m         Warning   Unhealthy           pod/exp-fleet-0-546944d5f8-ml6vt    Readiness probe failed: Get "http://10.42.1.11:8000/health": dial tcp 10.42.1.11:8000: connect: connection refused
15m         Normal    Killing             pod/exp-fleet-0-546944d5f8-ml6vt    Stopping container inference
15m         Normal    ScalingReplicaSet   deployment/vllm-b                   Scaled down replica set vllm-b-7885978c55 from 1 to 0
15m         Normal    Killing             pod/vllm-c-699fd75975-kngg4         Stopping container vllm
15m         Normal    ScalingReplicaSet   deployment/vllm-c                   Scaled down replica set vllm-c-699fd75975 from 1 to 0
15m         Normal    Killing             pod/exp-fleet-0-7db86ff5fc-l45wr    Stopping container inference
15m         Normal    Killing             pod/vllm-a-6d886c649b-6xdr4         Stopping container vllm
15m         Normal    SuccessfulDelete    replicaset/vllm-a-6d886c649b        Deleted pod: vllm-a-6d886c649b-6xdr4
15m         Normal    ScalingReplicaSet   deployment/vllm-a                   Scaled down replica set vllm-a-6d886c649b from 1 to 0
15m         Normal    SuccessfulDelete    replicaset/vllm-b-7885978c55        Deleted pod: vllm-b-7885978c55-2fts4
15m         Normal    Killing             pod/vllm-b-7885978c55-2fts4         Stopping container vllm
15m         Normal    SuccessfulDelete    replicaset/vllm-c-699fd75975        Deleted pod: vllm-c-699fd75975-kngg4
15m         Normal    SuccessfulCreate    replicaset/vllm-b-5675b75985        Created pod: vllm-b-5675b75985-j2tgj
15m         Normal    SuccessfulCreate    replicaset/vllm-a-5b4d4ddb          Created pod: vllm-a-5b4d4ddb-jkztb
15m         Normal    ScalingReplicaSet   deployment/vllm-c                   Scaled up replica set vllm-c-555c58f689 from 0 to 1
15m         Normal    Pulled              pod/vllm-a-5b4d4ddb-jkztb           Container image "vllm/vllm-openai@sha256:6d8429e38e3747723ca07ee1b17972e09bb9c51c4032b266f24fb1cc3b22ed8f" already present on machine and can be accessed by the pod
15m         Normal    Created             pod/vllm-a-5b4d4ddb-jkztb           Container created
15m         Normal    SuccessfulCreate    replicaset/vllm-c-555c58f689        Created pod: vllm-c-555c58f689-6wn4w
15m         Normal    ScalingReplicaSet   deployment/vllm-a                   Scaled up replica set vllm-a-5b4d4ddb from 0 to 1
15m         Normal    ScalingReplicaSet   deployment/vllm-b                   Scaled up replica set vllm-b-5675b75985 from 0 to 1
15m         Normal    Started             pod/vllm-c-555c58f689-6wn4w         Container started
15m         Normal    Pulled              pod/vllm-c-555c58f689-6wn4w         Container image "vllm/vllm-openai@sha256:6d8429e38e3747723ca07ee1b17972e09bb9c51c4032b266f24fb1cc3b22ed8f" already present on machine and can be accessed by the pod
15m         Normal    Started             pod/vllm-a-5b4d4ddb-jkztb           Container started
15m         Normal    Pulled              pod/vllm-b-5675b75985-j2tgj         Container image "vllm/vllm-openai@sha256:6d8429e38e3747723ca07ee1b17972e09bb9c51c4032b266f24fb1cc3b22ed8f" already present on machine and can be accessed by the pod
15m         Normal    Created             pod/vllm-c-555c58f689-6wn4w         Container created
15m         Normal    Started             pod/vllm-b-5675b75985-j2tgj         Container started
15m         Normal    Created             pod/vllm-b-5675b75985-j2tgj         Container created
14m         Warning   Unhealthy           pod/vllm-b-5675b75985-j2tgj         Readiness probe failed: Get "http://10.42.1.12:8000/health": dial tcp 10.42.1.12:8000: connect: connection refused
14m         Warning   Unhealthy           pod/vllm-a-5b4d4ddb-jkztb           Readiness probe failed: Get "http://10.42.0.14:8000/health": dial tcp 10.42.0.14:8000: connect: connection refused
14m         Warning   Unhealthy           pod/vllm-c-555c58f689-6wn4w         Readiness probe failed: Get "http://10.42.3.11:8000/health": dial tcp 10.42.3.11:8000: connect: connection refused
11m         Normal    ScalingReplicaSet   deployment/exp-fleet-0              Scaled up replica set exp-fleet-0-546944d5f8 from 0 to 1
11m         Normal    SuccessfulCreate    replicaset/exp-fleet-0-546944d5f8   Created pod: exp-fleet-0-546944d5f8-hkkff
11m         Normal    Started             pod/exp-fleet-0-546944d5f8-hkkff    Container started
11m         Normal    Created             pod/exp-fleet-0-546944d5f8-hkkff    Container created
11m         Normal    Pulled              pod/exp-fleet-0-546944d5f8-hkkff    Container image "registry.k8s.io/pause:3.10" already present on machine and can be accessed by the pod
107s        Warning   Unhealthy           pod/exp-fleet-0-546944d5f8-hkkff    Readiness probe failed: Get "http://10.42.1.13:8000/health": dial tcp 10.42.1.13:8000: connect: connection refused
